FactID,Year,StateCode,DistrictCode,LevelOfEducation,TotalEnrollment,FemaleEnrollment,GrossEnrollmentRatio,DropoutRate,TeacherCount,TeacherTrainedCount,AvgTrainingHours,SchoolsTotal,SchoolsWithInternet,SmartClassroomsCount,DigitalReadySchools,StudentsWithDevices,StudentsWithDisabilities,GirlToBoyRatio,VocationalEnrollment,SkillCertifiedLearners,SkillPlacementRate,BudgetAllocated,BudgetUtilized,PolicyImplementationScore,AccessIndex,QualityIndex,InfrastructureIndex,EquityIndex,GovernanceIndex,OverallNEPIndex,Source,LastUpdated,MathScore,ReadingScore,ScienceScore,AverageScore,PassPercentage,StudentPerformanceIndex,StudentsScoring75Plus,SchoolsWithLibrary,SchoolsWithLab,SchoolsWith5334Structure,SchoolsWithRegionalCurriculum,TeachersGraduate,TeachersPostGraduate,TeachersWithBEd,Date,PolicyId
F_S06_Pre-Primary_2022,2022,S01,D0049,Pre-Primary,244587,138602,65.03850652,6.769592121,49123,2925,58.958867,3421,6820,761,5329,282062,7063,1.1649641,17130,6657,78.29005338,7662419,672010.7358,56.27650874,78.15325919,72.15640514,61.87943309,58.90943582,72.73408357,50.20893927,Education Survey Data,01-11-2025,62.56,69.38,68.07,66.67,73.34,64.78,335,97,97,61,87,1471,1011,1358,15-12-2020,P011
F_S06_Pre-Primary_2023,2023,S30,D0034,Pre-Primary,451524,395950,92.65305262,5.339935416,4171,4330,90.19804584,956,7549,1759,816,411116,5018,0.896963481,160,93624,76.63197784,8394659,5321185.805,52.97764175,60.62867045,54.73768914,88.644455,61.31893446,55.07966799,91.11438773,Education Survey Data,01-11-2025,69.86,88.06,70.48,76.13,83.74,73.29,87,300,266,209,305,6387,3325,3763,21-07-2020,P006
F_S06_Pre-Primary_2024,2024,S20,D0002,Pre-Primary,490025,251798,91.79728033,1.657099507,17056,21028,43.87307602,131,4578,4479,3452,36781,933,1.103315697,5187,68354,69.44361215,4908282,2337624.126,79.9106411,80.00256623,99.41271329,53.52794486,67.80212492,58.38707027,82.40441446,Education Survey Data,01-11-2025,70.34,64.37,71.99,68.9,75.79,72.93,368,174,180,170,130,2986,1609,3206,01-06-2025,P012
F_S06_Pre-Primary_2025,2025,S21,D0007,Pre-Primary,299265,258426,80.31316063,4.004619336,34704,3635,52.26902249,9420,6661,4294,5012,109739,7257,0.892350431,10743,80343,58.34086843,5991666,6262023.136,51.83559613,50.76247156,68.4090019,69.26663185,51.71825193,50.70612957,91.3679178,Education Survey Data,01-11-2025,62.29,81.47,69.79,71.18,78.3,64.9,226,153,125,128,87,2337,1395,2418,05-09-2023,P004
F_S06_Primary_2020,2020,S14,D0036,Primary,513509,572026,66.48029778,5.983654667,1409,29514,64.036774,8775,162,3999,456,451391,5028,0.904436364,10575,57900,40.4004566,2723119,4543823.487,99.45663705,61.41946908,93.04686655,78.26992538,83.43352231,94.32800488,71.26105958,Education Survey Data,01-11-2025,82.93,81.74,73.55,79.41,87.35,77.99,366,188,151,123,182,2911,1452,2911,17-11-2021,P014
F_S06_Primary_2021,2021,S09,D0013,Primary,695613,186449,70.59709509,8.859651587,7066,13055,26.80304255,4695,3578,2036,1959,487628,6357,1.090354561,17025,47158,56.5308254,2595509,7947906.03,71.90019467,70.53098956,97.69810263,88.0380213,78.44507597,87.51198712,66.80872714,Education Survey Data,01-11-2025,71.79,66.12,60.44,66.12,72.73,68.98,109,70,74,64,47,1332,506,1232,13-01-2020,P013
F_S06_Primary_2022,2022,S27,D0020,Primary,601713,302938,81.11810192,3.41228558,14683,11018,91.15216004,413,6023,310,6066,34947,6947,0.870922091,19841,64907,80.04005748,6843680,4634804.576,75.62880954,90.6206469,91.47222654,78.06745542,86.74446911,91.35868519,54.66716265,Education Survey Data,01-11-2025,58.47,73.98,60.98,64.48,70.93,69.85,183,229,254,228,164,4839,2060,4134,20-11-2024,P020
F_S06_Primary_2023,2023,S27,D0030,Primary,736591,564371,98.05941377,8.998865442,25931,38249,42.21160856,1521,2771,6052,2357,468185,7554,1.068579401,2716,51677,80.78047061,4192499,820300.7783,94.46583411,52.86208934,88.39138773,61.36760372,59.20949551,62.43039732,76.45035248,Education Survey Data,01-11-2025,73.25,81.4,56.1,70.25,77.28,67.01,161,321,344,245,215,6104,2952,5807,03-11-2022,P014
F_S06_Primary_2024,2024,S27,D0030,Primary,416913,62600,86.51915831,3.982439907,7905,7188,19.24023186,3251,7879,2360,492,346846,7028,1.003047438,18413,57476,81.48698678,2455021,2112464.268,77.34851542,61.13464946,51.62913857,81.56838818,66.01360042,58.56224131,54.44473149,Education Survey Data,01-11-2025,60.2,67.35,69.96,65.84,72.42,65.73,156,36,34,22,34,829,283,627,01-07-2025,P019
F_S06_Primary_2025,2025,S09,D0011,Primary,777211,79934,92.04295029,5.650980583,12410,3494,34.29266827,2494,6613,3058,710,26421,8326,1.06362934,6837,77451,64.23148341,3490346,5557726.665,96.68883668,57.79121151,53.74338732,60.35930455,75.24733918,67.0562679,83.7349729,Education Survey Data,01-11-2025,74.3,68.57,73.01,71.96,79.16,71.47,118,81,71,45,79,1663,941,1203,04-08-2023,P001
F_S06_Secondary_2020,2020,S07,D0031,Secondary,329972,108394,97.69290252,6.43695517,17409,35356,38.04965873,1004,1161,3951,6632,490102,3312,0.899297672,6683,20239,58.37307368,3917598,5500628.495,57.80089305,51.24056362,94.75264761,59.98245301,80.19764072,83.50016743,60.12724638,Education Survey Data,01-11-2025,77.27,65.93,70.12,71.11,78.22,69.59,330,65,60,47,58,1159,522,793,04-04-2023,P007
F_S06_Secondary_2021,2021,S14,D0003,Secondary,403967,315692,70.64976984,9.335804842,28246,32439,35.14498895,8523,289,277,853,286517,5997,1.024844094,4443,56102,70.75309527,7514033,3337806.872,66.21766334,74.56873138,71.96646355,69.19413276,70.92692208,96.4640762,80.0514959,Education Survey Data,01-11-2025,61.43,62.9,81.07,68.47,75.32,66.33,78,388,322,226,260,6585,3153,4532,11-01-2025,P009
F_S06_Secondary_2022,2022,S20,D0002,Secondary,314212,279491,81.29393219,4.342922843,1995,1973,13.51565534,5607,3459,5459,3912,260882,5523,1.036307402,19426,69854,91.51204588,3834273,5423352.737,92.9175477,54.34395095,98.77279593,84.36730275,95.08605444,55.99876042,92.16766238,Education Survey Data,01-11-2025,75.71,65.46,65.95,69.04,75.94,68.44,170,46,39,47,47,820,339,743,07-09-2024,P015
F_S06_Secondary_2023,2023,S15,D0048,Secondary,360192,477897,99.86263923,1.796504208,42834,23384,68.69325198,1671,7254,5016,4879,154913,5733,1.043271942,12990,69220,79.99910263,6380186,4631231.977,99.36408879,62.02789271,72.05104795,92.9066144,84.96720335,90.11054366,80.26190485,Education Survey Data,01-11-2025,71.3,61.43,72.02,68.25,75.08,58.83,127,114,90,103,82,2025,880,1450,13-09-2023,P006
F_S06_Secondary_2024,2024,S14,D0003,Secondary,445450,421743,99.19346477,9.277403948,31648,20468,57.02671586,5253,1148,1415,1916,349028,816,1.04531855,17085,80292,69.51421094,8193540,6936545.103,83.33212028,87.85195014,95.5303098,80.89398929,75.53377205,62.1943207,90.15508778,Education Survey Data,01-11-2025,74.58,70.24,56.17,67,73.7,67.35,247,296,254,286,338,6455,3501,4231,18-08-2024,P013
F_S06_Secondary_2025,2025,S13,D0015,Secondary,414056,352623,90.63805518,4.830941938,36344,32241,28.50665566,8333,7106,1823,2598,331684,5139,0.938656467,6480,23289,89.87110112,2164476,1203558.081,98.29407798,59.72701245,96.50555438,83.12239839,50.89645626,74.4751013,98.74851572,Education Survey Data,01-11-2025,83.17,64.61,62.52,70.1,77.11,68.47,155,391,440,384,357,7779,3727,5660,22-10-2024,P010
F_S06_Higher_2020,2020,S20,D0017,Higher,929233,171756,77.99126332,2.214900682,39185,10589,52.64213864,4319,7876,1156,2566,195032,3432,0.895599584,17555,85724,71.62932972,8329347,6758898.409,70.31422291,93.36392715,52.67589659,99.82121845,90.34673492,62.10420679,52.10592628,Education Survey Data,01-11-2025,66.04,71.64,72.26,69.98,76.98,67.31,156,178,210,190,184,4061,2222,2585,07-10-2024,P019
F_S06_Higher_2021,2021,S15,D0048,Higher,902858,213050,64.5906127,2.975684897,7636,2437,10.67049159,9806,4178,2061,1827,413337,7024,1.024823157,9536,23721,46.2378671,7349622,6221216.494,70.12674646,85.47476114,73.43688168,68.44451311,70.06141311,85.84648194,99.90188325,Education Survey Data,01-11-2025,61.97,59.11,73.64,64.91,71.4,69.56,210,427,403,242,268,7289,4137,5602,26-01-2024,P008
F_S06_Higher_2022,2022,S21,D0007,Higher,383220,533845,82.18809548,2.096745318,21130,20262,19.50644425,1831,3645,6003,651,156490,9156,1.130768837,895,90458,80.71693708,3900040,623038.5894,93.97283763,68.89600162,50.59611791,73.45649288,89.40636985,92.65163765,60.83766285,Education Survey Data,01-11-2025,60.88,72.32,63.35,65.52,72.07,61.94,260,60,46,32,37,914,471,978,12-03-2020,P009
F_S06_Higher_2023,2023,S15,D0048,Higher,382526,252237,95.27177366,2.515555278,24062,11255,41.22910541,8566,6631,4777,6791,350069,2909,0.938347842,18005,59394,51.68724255,3622413,2322413.422,86.60287655,78.50954408,90.69802805,52.80917568,92.55203952,60.39386575,79.26782098,Education Survey Data,01-11-2025,61.47,75.83,65.36,67.55,74.31,64.59,110,83,78,61,60,1369,569,1147,17-01-2020,P003
F_S06_Higher_2024,2024,S13,D0005,Higher,591363,433326,67.98324669,9.42652743,2004,3851,40.31051327,3580,5046,1963,564,3251,139,1.015366588,2217,20829,64.50019476,2986735,8483589.733,85.35446099,60.81786479,88.89590722,84.31520831,85.67941492,67.85026474,73.97912399,Education Survey Data,01-11-2025,67.38,56.04,52.34,58.59,64.45,63.71,109,250,174,149,202,3828,2309,3426,29-08-2021,P002
F_S06_Higher_2025,2025,S30,D0034,Higher,70916,440595,76.60325093,7.272069999,16701,14840,14.41203592,9388,4059,5016,4736,372795,8828,0.994938843,15373,92153,52.50381436,8682529,6995597.385,59.56987562,59.92190789,90.66011844,54.76290472,72.57002189,70.71359065,65.35775859,Education Survey Data,01-11-2025,70.73,72.62,62.79,68.71,75.58,64.34,150,123,113,88,81,2441,1358,1834,04-11-2023,P015
F_S06_Vocational_2020,2020,S01,D0033,Vocational,960260,26685,68.56754565,9.756834308,20563,36912,40.31725744,151,5363,2860,6231,247871,5861,0.891302502,12053,83239,79.21294276,2476478,3043957.727,51.8078726,63.9391722,79.22871815,54.88313075,86.21051789,51.50591903,66.29575547,Education Survey Data,01-11-2025,70.21,78.59,74.01,74.27,81.7,70.19,399,78,80,61,83,1358,728,1105,05-10-2023,P004
F_S06_Vocational_2021,2021,S08,D0045,Vocational,77335,114957,87.66721591,7.853447613,40927,11486,28.71651472,3881,7304,1676,762,165621,6421,0.819406639,19848,45630,76.31284643,4781979,1993794.864,58.5244434,65.60408459,69.68731676,84.17339135,99.16419827,82.85369428,70.65620111,Education Survey Data,01-11-2025,74.62,61.53,71.18,69.11,76.02,66.76,196,85,81,87,102,1678,950,1150,02-09-2023,P019
F_S06_Vocational_2022,2022,S22,D0016,Vocational,388948,557616,78.06106711,5.903901647,22544,24468,93.54718041,186,3132,6890,5612,8863,3197,1.173659514,15354,91990,54.89912293,2052640,1625965.085,51.66719791,54.2291681,85.34886601,78.35124857,90.7922023,73.43141823,71.1334024,Education Survey Data,01-11-2025,68.1,81.71,70.51,73.44,80.78,73.62,274,114,101,79,100,2031,1149,1936,08-10-2022,P006
F_S06_Vocational_2023,2023,S18,D0037,Vocational,211265,474178,95.51253706,2.640243945,28380,3229,47.33718977,9116,3218,6708,4134,153591,7874,0.807663577,2027,22675,70.84256908,7549985,5455967.548,64.04848683,87.0403097,76.26402705,65.14472991,61.40947227,69.71215918,66.09771136,Education Survey Data,01-11-2025,79.63,72.93,66.45,73,80.3,71.32,157,197,135,151,187,2930,1422,2202,12-10-2022,P013
F_S06_Vocational_2024,2024,S14,D0003,Vocational,415591,43705,90.51855352,2.081743178,19393,17546,39.89742318,4771,8367,1442,5795,491722,8203,0.915778666,2389,95400,51.44997149,8520004,6299660.115,98.04634208,83.51922227,63.50202304,89.80655425,93.23562806,87.71147917,85.31144378,Education Survey Data,01-11-2025,65.88,65.06,66.06,65.67,72.24,60.23,213,114,101,81,91,2059,1194,1518,26-06-2024,P004
F_S06_Vocational_2025,2025,S02,D0047,Vocational,624562,508691,75.71759959,3.202153599,22292,10641,32.97759162,1660,6007,1545,154,451302,7610,1.146565743,10462,83401,40.28002916,8576974,8873148.972,51.20368529,57.24645094,95.99451582,81.12416227,69.62751807,87.64717359,82.33175468,Education Survey Data,01-11-2025,89.76,69.61,60.06,73.14,80.45,69.23,104,354,304,262,197,6124,3250,5050,07-06-2023,P006
F_S07_Pre-Primary_2020,2020,S15,D0048,Pre-Primary,235211,450037,78.04556724,9.706279781,11607,14252,63.45899738,8448,1265,783,6216,374678,3969,1.18743701,18702,41979,76.70899255,8882386,1732504.861,86.01522175,54.70594439,98.27345714,69.27434711,80.04137204,76.50209588,51.46820334,Education Survey Data,01-11-2025,73.01,73.91,72.29,73.07,80.38,68.94,91,135,138,68,88,2664,1354,1711,29-02-2024,P009
F_S07_Pre-Primary_2021,2021,S23,D0043,Pre-Primary,915061,210759,80.72589775,9.543095183,29406,33459,54.39471139,6872,176,6896,2966,310242,2141,0.889669461,15909,51121,67.10917225,3570388,4814546.185,60.35622447,58.88446495,96.88405269,68.81621145,97.43730135,67.98939364,79.8048645,Education Survey Data,01-11-2025,61.14,70.53,69.79,67.15,73.87,65.2,212,223,201,181,177,3170,1325,2663,23-06-2025,P015
F_S07_Pre-Primary_2022,2022,S07,D0050,Pre-Primary,456164,82578,72.05843782,5.492132104,1885,6413,52.93207556,5846,4397,6521,6919,324034,5074,0.9436862,8173,67197,79.21539223,6002955,6119258.212,64.30545319,68.93300677,78.16225185,79.48284861,75.69689314,83.79827752,76.57113655,Education Survey Data,01-11-2025,59.43,73.77,70.43,67.88,74.67,67.37,193,463,380,204,260,7636,3279,4539,03-09-2025,P008
F_S07_Pre-Primary_2023,2023,S25,D0021,Pre-Primary,262882,39477,71.42058805,5.73860609,38073,38443,62.49321089,9930,3320,4661,5014,496940,2748,1.032811221,3584,19274,53.93809866,6327258,4980618.144,74.43119033,66.5446251,74.52825303,57.17351096,54.51958368,88.43915567,99.38922812,Education Survey Data,01-11-2025,71.86,63.56,61.27,65.56,72.12,65.26,111,128,117,101,130,2198,876,1441,12-11-2024,P005
F_S07_Pre-Primary_2024,2024,S20,D0041,Pre-Primary,383284,208120,95.01124109,1.319145796,17296,14218,39.51644218,3123,3765,2945,1068,14756,3223,1.199082801,17222,15068,59.35503186,1175442,3152567.321,68.05583326,62.98329046,80.81351535,60.57861549,91.26256692,98.41086715,54.29385939,Education Survey Data,01-11-2025,66.21,71.19,46.62,61.34,67.47,54.88,253,294,205,142,189,4784,2121,3378,05-09-2023,P009
F_S07_Pre-Primary_2025,2025,S28,D0008,Pre-Primary,510407,119107,85.63384396,3.345729634,39378,15653,10.92046554,9095,5898,6681,2746,362205,8191,0.874471169,10045,96900,46.99519505,5128043,8709066.447,88.34357067,67.56000316,67.73711263,53.93344978,71.49613881,61.5865174,57.32020851,Education Survey Data,01-11-2025,73.71,60.1,75.87,69.89,76.88,71.09,382,169,134,105,129,2811,1801,1933,25-08-2020,P005
F_S07_Primary_2020,2020,S14,D0022,Primary,904069,109839,96.00285039,8.882724344,34960,10557,33.77595246,8406,3509,2415,5302,271717,1173,0.904052152,12282,19936,93.71746939,8872814,7941357.959,51.94188873,74.19743477,60.8340902,66.43860509,83.17267308,85.2993812,88.99226525,Education Survey Data,01-11-2025,71.79,69.22,61.69,67.57,74.33,66.57,191,418,412,276,382,7235,2550,5783,23-07-2023,P008
F_S07_Primary_2021,2021,S13,D0005,Primary,985419,550418,75.0198202,2.515653436,35258,39460,69.53944531,1234,3881,5241,5703,99898,1753,1.134897852,12803,24203,64.21733133,3278185,8078350.352,62.43618038,57.84941976,91.26178063,78.2272875,86.80129977,73.11806961,80.58712799,Education Survey Data,01-11-2025,67.42,63.67,58.24,63.11,69.42,65.95,242,142,94,86,89,2298,941,2055,01-04-2021,P002
F_S07_Primary_2022,2022,S20,D0017,Primary,267047,375794,90.29678935,6.206553722,11142,32317,16.09658264,8169,8400,2604,1642,4563,8061,1.067520349,2845,19120,50.07986837,1369121,2850573.929,79.58552421,88.17730323,79.33945291,79.47324251,80.6981777,72.72151218,82.98041244,Education Survey Data,01-11-2025,61.23,64.85,72.24,66.11,72.72,65.83,352,387,348,206,259,6324,2827,4780,17-12-2024,P007
F_S07_Primary_2023,2023,S18,D0037,Primary,267366,215136,68.49379929,4.580097316,44578,33966,87.37625848,9730,7293,1350,1389,399216,3813,1.138537366,19019,14363,78.68260471,5838112,4450829.161,62.3859367,69.75193168,56.49850556,57.11463487,71.46992222,87.7369421,71.32087512,Education Survey Data,01-11-2025,55.88,78.65,62.47,65.67,72.24,67.41,312,282,215,176,249,4882,2514,4528,16-01-2024,P016
F_S07_Primary_2024,2024,S29,D0014,Primary,551560,572251,70.57053469,8.895225748,8723,22052,57.20136649,7852,6571,5980,1722,73993,287,1.127113588,18388,50543,51.69340629,5794901,4248499.201,71.86862594,88.63376333,55.97028454,55.63076486,94.15236872,62.57966917,54.00989148,Education Survey Data,01-11-2025,64.43,77.64,75.54,72.54,79.79,71.69,227,78,74,63,56,1189,673,933,28-08-2020,P007
F_S07_Primary_2025,2025,S14,D0039,Primary,382717,28436,87.91622082,1.21586952,39728,27689,44.8326411,1595,1299,1639,5357,225251,6710,0.963914699,18143,75646,55.53825037,1510966,2244859.837,59.107515,58.21724026,65.07228498,97.36712803,50.83076503,72.0329131,57.99956801,Education Survey Data,01-11-2025,74.85,74.26,71.55,73.55,80.9,75.23,319,121,107,88,78,1902,822,1430,25-07-2021,P015
F_S07_Secondary_2020,2020,S20,D0041,Secondary,83606,585736,98.37378084,8.054443038,10375,20862,46.31866167,2803,7178,5312,3418,185618,8344,1.123850296,14569,97944,84.4332142,8982231,5228657.275,55.06888662,73.50282676,75.9718672,94.00157552,98.64100109,91.71266615,79.36368529,Education Survey Data,01-11-2025,69.71,62.35,72.15,68.07,74.88,67.83,113,200,160,102,144,3191,1437,2355,08-01-2023,P006
F_S07_Secondary_2021,2021,S17,D0028,Secondary,780682,262714,96.91610444,9.958548637,8463,27451,68.4647465,7174,3369,3229,1360,96671,6749,1.14250392,1425,58790,74.53632478,2584904,3550364.579,90.79559933,77.02698468,55.74177311,81.95800488,93.65249803,56.74090378,62.27590977,Education Survey Data,01-11-2025,58.03,67.79,53.71,59.84,65.82,58.56,200,90,68,69,69,1335,625,1235,03-01-2023,P017
F_S07_Secondary_2022,2022,S07,D0031,Secondary,722973,271321,98.23529508,5.103266431,46401,28805,81.94096561,2312,7296,6849,1027,4172,9994,0.863454351,9249,5537,50.87526333,5123741,1648726.778,89.18892288,85.31351009,64.06439788,65.95594712,83.3705236,74.13573983,59.95696879,Education Survey Data,01-11-2025,69.39,78.49,76.91,74.93,82.42,79.25,174,359,346,183,385,6516,3135,4901,27-03-2022,P011
F_S07_Secondary_2023,2023,S20,D0017,Secondary,675886,39611,84.56379673,7.803989451,34015,32296,24.02777149,653,1029,6185,2686,292115,2416,1.15393205,13017,93396,78.46787626,5929886,3562804.919,84.44437444,59.82960384,63.58152867,93.5827461,68.10569566,68.25184368,56.35047867,Education Survey Data,01-11-2025,71.08,70.99,68.35,70.14,77.15,70.79,126,185,185,159,215,4113,1651,3188,29-04-2023,P006
F_S07_Secondary_2024,2024,S07,D0035,Secondary,582767,499286,66.53003979,8.281678471,25894,13876,52.02437045,8471,4548,5261,6357,173218,4880,1.002746783,15503,66180,50.38471621,2036086,5386974.849,50.19623718,74.16119682,57.47388029,83.26203674,90.17004917,73.73293566,77.98970085,Education Survey Data,01-11-2025,60.93,86.24,62.68,69.95,76.95,69.68,208,139,115,88,107,2459,1541,2294,18-07-2023,P010
F_S07_Secondary_2025,2025,S27,D0040,Secondary,688563,384211,62.75641124,3.5776308,34928,37760,21.71872672,6359,8744,1025,2744,456105,4415,1.17146024,3847,60675,86.84993409,2025137,7347065.391,86.33049765,97.13101843,94.98235583,76.61455763,90.58901078,91.24028567,75.39388861,Education Survey Data,01-11-2025,69.23,72.75,67.29,69.76,76.74,63.96,116,403,407,315,320,6633,3513,5937,16-06-2024,P005
F_S07_Higher_2020,2020,S14,D0022,Higher,840682,436895,64.45342642,1.289034409,21736,6828,35.19508441,7041,2267,2441,289,46665,172,1.021327252,11497,27831,73.43611219,4579078,8918907.495,77.71245557,54.7079042,87.01735227,74.48092764,97.65175236,90.74367636,62.29231985,Education Survey Data,01-11-2025,68.47,71.34,50.01,63.27,69.6,58.08,264,86,76,59,80,1762,662,1461,04-04-2021,P008
F_S07_Higher_2021,2021,S08,D0045,Higher,977852,251919,72.35924586,7.544913805,30798,12175,69.067026,8550,4652,6026,5162,316916,7291,0.903581823,3789,91936,80.23511705,8350201,7371511.722,68.37604507,96.87759339,75.98332244,55.99247086,78.55629365,90.50243007,58.12637527,Education Survey Data,01-11-2025,58.86,67.84,69.68,65.46,72.01,64.79,203,227,269,249,279,4941,2519,4411,23-06-2021,P015
F_S07_Higher_2022,2022,S15,D0048,Higher,148644,95413,73.41464009,9.235331713,12754,15215,89.69988049,746,7638,2330,5026,315878,163,0.89653869,10261,25511,72.04249794,1142200,924720.7934,77.21613797,90.86044838,71.24712547,62.23773124,99.9477306,64.67332058,53.22701236,Education Survey Data,01-11-2025,70.86,70.93,56.74,66.18,72.8,65,227,255,231,160,174,4695,2021,3258,12-11-2022,P006
F_S07_Higher_2023,2023,S22,D0029,Higher,293744,347223,69.26090085,8.714625268,47597,29246,38.33016239,7828,3586,4747,3018,398590,3183,1.119038537,584,62555,80.59234184,3456074,3633244.44,57.43830717,87.42668703,74.65143222,64.58570705,82.3764223,90.8828409,95.17927457,Education Survey Data,01-11-2025,72.49,68.93,53.83,65.08,71.59,61.73,113,336,295,231,300,7344,3620,5108,20-04-2020,P004
F_S07_Higher_2024,2024,S17,D0010,Higher,527382,475000,87.99578426,8.959506248,31065,4130,73.97990316,7815,1156,144,4105,233769,8386,0.832157593,15084,18394,86.47715867,9489215,8667850.495,93.40161214,53.67434969,96.48709815,73.20742345,94.34924094,72.16674259,94.95972059,Education Survey Data,01-11-2025,76.66,74.96,52.3,67.97,74.77,66.6,116,183,191,121,187,3443,1518,3051,27-08-2023,P004
F_S07_Higher_2025,2025,S27,D0018,Higher,552239,539369,87.76580632,8.754974433,18126,4855,62.37467951,6398,7564,4402,6949,138485,5217,1.042117046,3160,71015,94.30301977,4085531,970537.9795,85.94683281,86.0946026,73.87213756,81.5076698,99.02953367,78.36839078,91.84161526,Education Survey Data,01-11-2025,76.43,76.7,76.01,76.38,84.02,78.51,280,247,210,211,247,4270,2079,3431,01-06-2025,P004
F_S07_Vocational_2020,2020,S07,D0035,Vocational,590099,579548,62.46891019,6.569994114,26307,36585,54.56666098,316,423,3275,6436,380106,8458,1.097417747,3339,16863,55.53730099,9286843,5393105.28,62.09029054,78.92611402,57.94806303,97.38495259,68.6127429,66.7421124,94.21271835,Education Survey Data,01-11-2025,56.98,64.5,60.34,60.61,66.67,61.64,329,223,164,155,133,3118,1946,2371,03-01-2024,P001
F_S07_Vocational_2021,2021,S16,D0044,Vocational,296139,227951,84.16651775,7.121662393,11488,20240,32.86029157,7119,7971,150,6513,267580,303,1.073279465,7573,2272,47.76048703,1749295,5400531.439,65.44827247,83.84720528,90.79300377,56.0414279,56.69109279,81.25450193,62.25105872,Education Survey Data,01-11-2025,60.5,60.68,79.8,66.99,73.69,61.87,102,408,337,321,274,6428,4055,5118,24-12-2020,P019
F_S07_Vocational_2022,2022,S22,D0016,Vocational,321286,170006,75.93073462,5.903870548,3906,7299,59.57224372,6238,2755,4688,5618,6988,9512,0.972055867,866,44619,68.3961194,8281251,7301189.81,80.50817302,98.71524279,80.59133907,97.73883569,76.35856693,77.69064563,80.91137114,Education Survey Data,01-11-2025,72.12,57.15,61.18,63.48,69.83,61.8,149,55,40,45,34,826,374,680,14-05-2020,P001
F_S07_Vocational_2023,2023,S07,D0050,Vocational,128558,542179,90.38382952,4.996621089,6476,28165,33.74775125,7306,3673,6789,3027,35223,960,1.161316598,3250,38128,43.74061491,1910912,616845.8963,58.549379,57.35895468,69.84671891,96.32822324,73.80120617,85.99358892,65.98504519,Education Survey Data,01-11-2025,72.11,73.56,50.63,65.43,71.97,61.47,322,142,110,124,82,2353,1076,1836,20-04-2022,P008
F_S07_Vocational_2024,2024,S01,D0049,Vocational,915402,326553,60.2287634,3.674867012,44788,14952,32.93897278,8495,8216,2086,4958,417524,1050,1.114552758,6472,28185,65.1283411,7012767,2779418.483,99.01148627,60.38188447,88.40973424,95.42639861,89.35509422,62.30165837,65.51662045,Education Survey Data,01-11-2025,72.12,62.28,55.95,63.45,69.8,60.94,89,96,81,86,92,1993,883,1245,26-11-2023,P003
F_S07_Vocational_2025,2025,S21,D0007,Vocational,853118,309539,96.19880294,6.728754447,1125,36297,51.66279872,4750,2113,3481,1458,415757,8963,1.021097744,14011,88693,72.55317837,2250089,919873.7023,63.27028126,78.11418375,56.12146438,66.35921008,71.95070039,79.58979545,97.52724937,Education Survey Data,01-11-2025,98.82,54.93,77.12,76.96,84.66,73.02,381,184,150,102,163,3354,1861,2980,27-12-2022,P009
F_S08_Pre-Primary_2020,2020,S27,D0030,Pre-Primary,121269,520236,77.05950999,6.15045872,26190,14143,20.32537704,3188,2752,6943,3603,317511,3921,1.111212689,18877,62443,85.32506938,4271637,1167298.466,76.91214379,65.91993946,66.93505223,78.8553125,71.87323647,72.41091066,84.24438211,Education Survey Data,01-11-2025,72.57,72.72,64.6,69.96,76.96,66.53,238,117,90,98,99,1753,1158,1757,17-10-2023,P001
F_S08_Pre-Primary_2021,2021,S36,D0019,Pre-Primary,111887,312000,65.30291391,9.06790899,7618,37924,56.13807475,8781,3267,5453,4120,236807,1040,1.087927763,14389,3579,58.63458783,1768978,2693424.855,50.33593052,52.88342037,69.98708629,82.35438321,93.58561349,97.88514879,73.7225043,Education Survey Data,01-11-2025,77.08,87.45,61.07,75.2,82.72,68.91,217,77,78,47,51,1295,560,1136,03-05-2022,P001
F_S08_Pre-Primary_2022,2022,S14,D0023,Pre-Primary,706201,539419,62.95507386,4.046478369,31120,5272,42.45427567,5762,2792,5201,4101,417571,2660,1.006677896,4878,7515,43.06195616,5329726,5790177.266,66.71996612,74.03856687,80.44198361,51.50320499,93.75069258,57.40223704,73.27928864,Education Survey Data,01-11-2025,75.63,69.96,67.44,71.01,78.11,68.53,174,264,301,261,197,5207,2203,4752,25-05-2022,P011
F_S08_Pre-Primary_2023,2023,S28,D0008,Pre-Primary,249501,358344,76.36581635,2.35163929,35583,18495,27.04474377,7813,8187,3385,5516,396409,8817,1.116167138,17195,31512,49.7775709,3372719,2471897.337,69.2679317,99.3768296,59.78952016,61.51546918,92.21037248,81.782115,78.4960909,Education Survey Data,01-11-2025,73.21,75.87,70.52,73.2,80.52,69.2,176,197,169,152,132,3084,1623,3129,24-08-2024,P009
F_S08_Pre-Primary_2024,2024,S20,D0017,Pre-Primary,408895,34107,81.3587496,4.01084551,22016,30883,57.15157512,2575,3412,6890,6890,137955,3589,1.003461873,19194,29523,57.40527541,1524782,2757274.718,89.40213619,70.3443802,60.27310453,77.44574696,98.57185559,67.96699699,51.66218293,Education Survey Data,01-11-2025,65.48,70.57,76.06,70.7,77.77,59.84,172,307,363,306,268,6458,2521,4244,08-12-2020,P016
